,AutoARIMA,N-BEATS,Prophet,Best model
ES080E,37.15853658536585,42.426829268292686,36.670731707317074,Prophet
ES1000E,0.0975609756097561,1.829268292682927,0.17073170731707318,AutoARIMA
ES100E,57.47560975609756,65.71951219512195,60.28048780487805,AutoARIMA
ES1200E,0.024390243902439025,1.7804878048780488,0.13414634146341464,AutoARIMA
ES125E,6.2439024390243905,7.097560975609756,6.353658536585366,AutoARIMA
ES150E,54.69512195121951,66.90243902439025,53.13414634146341,Prophet
ES200E,20.78048780487805,23.20731707317073,20.670731707317074,Prophet
ES200E/16,5.682926829268292,7.378048780487805,5.7073170731707314,AutoARIMA
ES250E,8.768292682926829,11.512195121951219,9.012195121951219,AutoARIMA
ES250E/16,10.524390243902438,10.890243902439025,11.21951219512195,AutoARIMA
ES300E,14.146341463414634,12.939024390243903,9.987804878048781,Prophet
ES300E/16,5.219512195121951,6.865853658536586,6.439024390243903,AutoARIMA
ES350E,0.34146341463414637,2.768292682926829,1.2195121951219512,AutoARIMA
ES350E/16,3.1951219512195124,3.658536585365854,3.0853658536585367,Prophet
ES400E,5.378048780487805,7.146341463414634,6.475609756097561,AutoARIMA
ES400E/16,6.109756097560975,7.012195121951219,7.2317073170731705,AutoARIMA
ES450E,0.0975609756097561,2.792682926829268,0.0975609756097561,AutoARIMA
ES450E/16,0.4634146341463415,1.7317073170731707,0.5,AutoARIMA
ES500E,6.597560975609756,7.0,6.865853658536586,AutoARIMA
ES500E/16,2.1219512195121952,3.4146341463414633,2.3292682926829267,AutoARIMA
ES600E,1.853658536585366,2.8658536585365852,2.0609756097560976,AutoARIMA
ES600E/16,1.1951219512195121,1.2560975609756098,0.8780487804878049,Prophet
ES700E,0.17073170731707318,1.451219512195122,0.24390243902439024,AutoARIMA
ES700E/16,0.17073170731707318,1.5975609756097562,0.17073170731707318,AutoARIMA
ES800E,0.6341463414634146,2.426829268292683,1.0731707317073171,AutoARIMA
ES800E/16,0.17073170731707318,1.170731707317073,0.17073170731707318,AutoARIMA
ES900E,0.04878048780487805,1.2804878048780488,0.08536585365853659,AutoARIMA
FFKS050<11E,0.3170731707317073,1.3658536585365855,0.3170731707317073,AutoARIMA
FFKS050<22E,0.12195121951219512,2.8536585365853657,0.15853658536585366,AutoARIMA
FFKS050<45E,0.6585365853658537,2.097560975609756,0.8048780487804879,AutoARIMA
FFKS065<11E,0.0975609756097561,0.8658536585365854,0.0975609756097561,AutoARIMA
FFKS065<22E,0.0975609756097561,2.268292682926829,0.0975609756097561,AutoARIMA
FFKS065<45E,0.2682926829268293,1.4634146341463414,0.3170731707317073,AutoARIMA
FFKS080<11E,2.6097560975609757,4.524390243902439,3.207317073170732,AutoARIMA
FFKS080<22E,3.1707317073170733,4.634146341463414,3.4390243902439024,AutoARIMA
FFKS080<30E,3.9878048780487805,5.841463414634147,4.365853658536586,AutoARIMA
FFKS080<45E,7.463414634146342,10.268292682926829,8.060975609756097,AutoARIMA
FFKS100<11E,5.536585365853658,6.658536585365853,5.548780487804878,AutoARIMA
FFKS100<22E,5.853658536585366,7.390243902439025,6.7560975609756095,AutoARIMA
FFKS100<30E,7.853658536585366,10.24390243902439,8.292682926829269,AutoARIMA
FFKS100<45E,13.024390243902438,14.134146341463415,13.902439024390244,AutoARIMA
FFKS1000<11E,0.0975609756097561,2.182926829268293,0.0975609756097561,AutoARIMA
FFKS1000<22E,0.04878048780487805,0.9024390243902439,0.04878048780487805,AutoARIMA
FFKS1000<30E,0.0,0.7926829268292683,0.0,AutoARIMA
FFKS1000<45E,0.024390243902439025,1.1097560975609757,0.07317073170731707,AutoARIMA
FFKS1200<22E,0.024390243902439025,2.2195121951219514,0.024390243902439025,AutoARIMA
FFKS1200<30E,0.04878048780487805,1.024390243902439,0.04878048780487805,AutoARIMA
FFKS125<22E,1.1341463414634145,1.6585365853658536,1.2195121951219512,AutoARIMA
FFKS125<45E,1.2195121951219512,2.524390243902439,1.3414634146341464,AutoARIMA
FFKS150<11E,4.5,5.426829268292683,4.7317073170731705,AutoARIMA
FFKS150<22E,3.2195121951219514,5.378048780487805,3.768292682926829,AutoARIMA
FFKS150<30E,5.2682926829268295,7.414634146341464,5.2317073170731705,Prophet
FFKS150<45E,9.926829268292684,12.475609756097562,11.170731707317072,AutoARIMA
FFKS200<11E,2.6341463414634148,4.060975609756097,2.8536585365853657,AutoARIMA
FFKS200<11E/16,0.9146341463414634,2.3048780487804876,1.170731707317073,AutoARIMA
FFKS200<22E,2.2195121951219514,2.9634146341463414,2.2439024390243905,AutoARIMA
FFKS200<22E/16,0.2682926829268293,1.548780487804878,0.4634146341463415,AutoARIMA
FFKS200<30E,3.1463414634146343,3.951219512195122,3.1463414634146343,AutoARIMA
FFKS200<30E/16,0.3902439024390244,1.670731707317073,0.6341463414634146,AutoARIMA
